repository,commit_sha,author,timestamp,message,filename,additions,deletions,changes,patch,risky_label
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",.changeset/secure-forwarded-host-validation.md,32,0,32,"@@ -0,0 +1,32 @@
+---
+'astro': patch
+---
+
+Adds `security.allowedDomains` configuration to validate `X-Forwarded-Host` headers in SSR
+
+The `X-Forwarded-Host` header will now only be trusted if it matches one of the configured allowed host patterns. This prevents [host header injection attacks](https://owasp.org/www-project-web-security-testing-guide/latest/4-Web_Application_Security_Testing/07-Input_Validation_Testing/17-Testing_for_Host_Header_Injection) that can lead to cache poisoning and other security vulnerabilities.
+
+Configure allowed host patterns to enable `X-Forwarded-Host` support:
+
+```js
+// astro.config.mjs
+export default defineConfig({
+  output: 'server',
+  adapter: node(),
+  security: {
+    allowedDomains: [
+      { hostname: 'example.com' },
+      { hostname: '*.example.com' },
+      { hostname: 'cdn.example.com', port: '443' }
+    ]
+  }
+})
+```
+
+The patterns support wildcards (`*` and `**`) for flexible hostname matching and can optionally specify protocol and port.
+
+### Breaking change
+
+Previously, `Astro.url` would reflect the value of the `X-Forwarded-Host` header. While this header is commonly used by reverse proxies like Nginx to communicate the original host, it can be sent by any client, potentially allowing malicious actors to poison caches with incorrect URLs.
+
+If you were relying on `X-Forwarded-Host` support, add `security.allowedDomains` to your configuration to restore this functionality securely. When `allowedDomains` is not configured, `X-Forwarded-Host` headers are now ignored by default.",1
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",packages/astro/src/container/index.ts,2,0,2,"@@ -158,6 +158,7 @@ function createManifest(
 		inlinedScripts: manifest?.inlinedScripts ?? new Map(),
 		i18n: manifest?.i18n,
 		checkOrigin: false,
+		allowedDomains: manifest?.allowedDomains ?? [],
 		middleware: manifest?.middleware ?? middlewareInstance,
 		key: createKey(),
 		csp: manifest?.csp,
@@ -247,6 +248,7 @@ type AstroContainerManifest = Pick<
 	| 'outDir'
 	| 'cacheDir'
 	| 'csp'
+	| 'allowedDomains'
 >;
 
 type AstroContainerConstructor = {",1
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",packages/astro/src/core/app/index.ts,42,1,43,"@@ -3,6 +3,7 @@ import {
 	hasFileExtension,
 	isInternalPath,
 } from '@astrojs/internal-helpers/path';
+import { matchPattern, type RemotePattern } from '../../assets/utils/remotePattern.js';
 import { normalizeTheLocale } from '../../i18n/index.js';
 import type { RoutesList } from '../../types/astro.js';
 import type { RouteData, SSRManifest } from '../../types/public/internal.js';
@@ -137,6 +138,38 @@ export class App {
 		return this.#adapterLogger;
 	}
 
+	getAllowedDomains() {
+		return this.#manifest.allowedDomains;
+	}
+
+	protected get manifest(): SSRManifest {
+		return this.#manifest;
+	}
+
+	protected matchesAllowedDomains(forwardedHost: string, protocol?: string): boolean {
+		return App.validateForwardedHost(forwardedHost, this.#manifest.allowedDomains, protocol);
+	}
+
+	static validateForwardedHost(
+		forwardedHost: string,
+		allowedDomains?: Partial<RemotePattern>[],
+		protocol?: string
+	): boolean {
+		if (!allowedDomains || allowedDomains.length === 0) {
+			return false;
+		}
+		
+		try {
+			const testUrl = new URL(`${protocol || 'https'}://${forwardedHost}`);
+			return allowedDomains.some((pattern) => {
+				return matchPattern(testUrl, pattern);
+			});
+		} catch {
+			// Invalid URL
+			return false;
+		}
+	}
+
 	/**
 	 * Creates a pipeline by reading the stored manifest
 	 *
@@ -235,7 +268,7 @@ export class App {
 				this.#manifest.i18n.strategy === 'domains-prefix-always-no-redirect')
 		) {
 			// https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Forwarded-Host
-			let host = request.headers.get('X-Forwarded-Host');
+			let forwardedHost = request.headers.get('X-Forwarded-Host');
 			// https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Forwarded-Proto
 			let protocol = request.headers.get('X-Forwarded-Proto');
 			if (protocol) {
@@ -245,6 +278,14 @@ export class App {
 				// we fall back to the protocol of the request
 				protocol = url.protocol;
 			}
+			
+			// Validate X-Forwarded-Host against allowedDomains if configured
+			if (forwardedHost && !this.matchesAllowedDomains(forwardedHost, protocol)) {
+				// If not allowed, ignore the X-Forwarded-Host header
+				forwardedHost = null;
+			}
+			
+			let host = forwardedHost;
 			if (!host) {
 				// https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Host
 				host = request.headers.get('Host');",1
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",packages/astro/src/core/app/node.ts,18,3,21,"@@ -2,6 +2,8 @@ import fs from 'node:fs';
 import type { IncomingMessage, ServerResponse } from 'node:http';
 import { Http2ServerResponse } from 'node:http2';
 import type { Socket } from 'node:net';
+// matchPattern is used in App.validateForwardedHost, no need to import here
+import type { RemotePattern } from '../../types/public/config.js';
 import type { RouteData } from '../../types/public/internal.js';
 import { clientAddressSymbol, nodeRequestAbortControllerCleanupSymbol } from '../constants.js';
 import { deserializeManifest } from './common.js';
@@ -31,6 +33,7 @@ export class NodeApp extends App {
 		if (!(req instanceof Request)) {
 			req = NodeApp.createRequest(req, {
 				skipBody: true,
+				allowedDomains: this.manifest.allowedDomains,
 			});
 		}
 		return super.match(req, allowPrerenderedRoutes);
@@ -47,7 +50,9 @@ export class NodeApp extends App {
 		maybeLocals?: object,
 	) {
 		if (!(req instanceof Request)) {
-			req = NodeApp.createRequest(req);
+			req = NodeApp.createRequest(req, {
+				allowedDomains: this.manifest.allowedDomains,
+			});
 		}
 		// @ts-expect-error The call would have succeeded against the implementation, but implementation signatures of overloads are not externally visible.
 		return super.render(req, routeDataOrOptions, maybeLocals);
@@ -66,7 +71,10 @@ export class NodeApp extends App {
 	 * })
 	 * ```
 	 */
-	static createRequest(req: NodeRequest, { skipBody = false } = {}): Request {
+	static createRequest(
+		req: NodeRequest,
+		{ skipBody = false, allowedDomains = [] }: { skipBody?: boolean; allowedDomains?: Partial<RemotePattern>[] } = {},
+	): Request {
 		const controller = new AbortController();
 
 		const isEncrypted = 'encrypted' in req.socket && req.socket.encrypted;
@@ -88,8 +96,15 @@ export class NodeApp extends App {
 		const protocol = forwardedProtocol ?? providedProtocol;
 
 		// @example ""example.com,www2.example.com"" => ""example.com""
-		const forwardedHostname = getFirstForwardedValue(req.headers['x-forwarded-host']);
+		let forwardedHostname = getFirstForwardedValue(req.headers['x-forwarded-host']);
 		const providedHostname = req.headers.host ?? req.headers[':authority'];
+		
+		// Validate X-Forwarded-Host against allowedDomains if configured
+		if (forwardedHostname && !App.validateForwardedHost(forwardedHostname, allowedDomains, forwardedProtocol ?? providedProtocol)) {
+			// If not allowed, ignore the X-Forwarded-Host header
+			forwardedHostname = undefined;
+		}
+		
 		const hostname = forwardedHostname ?? providedHostname;
 
 		// @example ""443,8080,80"" => ""443""",1
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",packages/astro/src/core/app/types.ts,2,0,2,"@@ -7,6 +7,7 @@ import type {
 	AstroConfig,
 	CspAlgorithm,
 	Locales,
+	RemotePattern,
 	ResolvedSessionConfig,
 } from '../../types/public/config.js';
 import type {
@@ -85,6 +86,7 @@ export type SSRManifest = {
 	middleware?: () => Promise<AstroMiddlewareInstance> | AstroMiddlewareInstance;
 	actions?: () => Promise<SSRActions> | SSRActions;
 	checkOrigin: boolean;
+	allowedDomains?: Partial<RemotePattern>[];
 	sessionConfig?: ResolvedSessionConfig<any>;
 	cacheDir: string | URL;
 	srcDir: string | URL;",1
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",packages/astro/src/core/build/plugins/plugin-manifest.ts,1,0,1,"@@ -367,6 +367,7 @@ async function buildManifest(
 		buildFormat: settings.config.build.format,
 		checkOrigin:
 			(settings.config.security?.checkOrigin && settings.buildOutput === 'server') ?? false,
+		allowedDomains: settings.config.security?.allowedDomains,
 		serverIslandNameMap: Array.from(settings.serverIslandNameMap),
 		key: encodedKey,
 		sessionConfig: settings.config.session,",1
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",packages/astro/src/core/config/schemas/base.ts,11,0,11,"@@ -89,6 +89,7 @@ export const ASTRO_CONFIG_DEFAULTS = {
 	redirects: {},
 	security: {
 		checkOrigin: true,
+		allowedDomains: [],
 	},
 	env: {
 		schema: {},
@@ -422,6 +423,16 @@ export const AstroConfigSchema = z.object({
 	security: z
 		.object({
 			checkOrigin: z.boolean().default(ASTRO_CONFIG_DEFAULTS.security.checkOrigin),
+			allowedDomains: z
+				.array(
+					z.object({
+						hostname: z.string().optional(),
+						protocol: z.string().optional(),
+						port: z.string().optional(),
+					}),
+				)
+				.optional()
+				.default(ASTRO_CONFIG_DEFAULTS.security.allowedDomains),
 		})
 		.optional()
 		.default(ASTRO_CONFIG_DEFAULTS.security),",1
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",packages/astro/src/types/public/config.ts,41,0,41,"@@ -26,6 +26,8 @@ export type { AstroFontProvider as FontProvider };
 
 export type { CspAlgorithm };
 
+export type { RemotePattern };
+
 type NormalizeLocales<T extends Locales> = {
 	[K in keyof T]: T[K] extends string
 		? T[K]
@@ -589,6 +591,45 @@ export interface AstroUserConfig<
 		 */
 
 		checkOrigin?: boolean;
+
+		/**
+		 * @docs
+		 * @name security.allowedDomains
+		 * @type {RemotePattern[]}
+		 * @default `[]`
+		 * @version 5.15.0
+		 * @description
+		 *
+		 * Defines a list of permitted host patterns for incoming requests when using SSR. When configured, Astro will validate the `X-Forwarded-Host` header
+		 * against these patterns for security. If the header doesn't match any allowed pattern, the header is ignored and the request's original host is used instead.
+		 *
+		 * This prevents host header injection attacks where malicious actors can manipulate the `Astro.url` value by sending crafted `X-Forwarded-Host` headers.
+		 *
+		 * Each pattern can specify `protocol`, `hostname`, and `port`. All three are validated if provided.
+		 * The patterns support wildcards for flexible hostname matching:
+		 *
+		 * ```js
+		 * {
+		 *   security: {
+		 *     // Example: Allow any subdomain of example.com on https
+		 *     allowedDomains: [
+		 *       {
+		 *         hostname: '**.example.com',
+		 *         protocol: 'https'
+		 *       },
+		 *       {
+		 *         hostname: 'staging.myapp.com',
+		 *         protocol: 'https',
+		 *         port: '443'
+		 *       }
+		 *     ]
+		 *   }
+		 * }
+		 * ```
+		 *
+		 * When not configured, `X-Forwarded-Host` headers are not trusted and will be ignored.
+		 */
+		allowedDomains?: Partial<RemotePattern>[];
 	};
 
 	/**",1
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",packages/integrations/node/src/serve-app.ts,3,1,4,"@@ -36,7 +36,9 @@ export function createAppHandler(app: NodeApp, options: Options): RequestHandler
 	return async (req, res, next, locals) => {
 		let request: Request;
 		try {
-			request = NodeApp.createRequest(req);
+			request = NodeApp.createRequest(req, {
+				allowedDomains: app.getAllowedDomains()
+			});
 		} catch (err) {
 			logger.error(`Could not render ${req.url}`);
 			console.error(err);",1
withastro/astro,6ee63bf,Matthew Phillips,2025-10-08T12:57:16Z,"Merge commit from fork

* fix(security): require allowedDomains config for X-Forwarded-Host validation

Fixes X-Forwarded-Host header injection vulnerability by requiring explicit
allowedDomains configuration. When not configured, X-Forwarded-Host headers
are ignored to prevent manipulation of Astro.url by malicious requests.

- Add security.allowedDomains configuration using RemotePattern format
- Validate X-Forwarded-Host against allowedDomains patterns in both App and NodeApp
- Ignore untrusted headers when no allowedDomains configured (secure by default)
- Update tests to verify security behavior with and without configuration

* Address PR review feedback on allowedDomains implementation

- Remove pathname field from allowedDomains schema (not applicable to host headers)
- Clarify documentation that protocol, hostname, and port are all validated if provided
- Add test demonstrating port validation behavior when port not specified in pattern

* add changeset

* make it a patch

* explain the breaking change

* Update secure-forwarded-host-validation.md",packages/integrations/node/test/fixtures/url/astro.config.mjs,14,0,14,"@@ -0,0 +1,14 @@
+import { defineConfig } from 'astro/config';
+import nodejs from '@astrojs/node';
+
+export default defineConfig({
+	output: 'server',
+	adapter: nodejs({ mode: 'standalone' }),
+	security: {
+		allowedDomains: [
+			{
+				hostname: 'abc.xyz'
+			}
+		]
+	}
+});
\ No newline at end of file",1
